Datetime (UTC),Datetime (Local),Capacity factor,Hour,Month,Year,Day
2016-01-13 06:00:00,2016-01-13 07:00:00,0.0,7,1,2016,13
2016-01-13 07:00:00,2016-01-13 08:00:00,0.008,8,1,2016,13
2016-01-13 08:00:00,2016-01-13 09:00:00,0.101,9,1,2016,13
2016-01-13 09:00:00,2016-01-13 10:00:00,0.201,10,1,2016,13
2016-01-13 10:00:00,2016-01-13 11:00:00,0.292,11,1,2016,13
2016-01-13 11:00:00,2016-01-13 12:00:00,0.348,12,1,2016,13
2016-01-13 12:00:00,2016-01-13 13:00:00,0.356,13,1,2016,13
2016-01-13 13:00:00,2016-01-13 14:00:00,0.311,14,1,2016,13
2016-01-13 14:00:00,2016-01-13 15:00:00,0.228,15,1,2016,13
2016-01-13 15:00:00,2016-01-13 16:00:00,0.119,16,1,2016,13
2016-01-13 16:00:00,2016-01-13 17:00:00,0.024,17,1,2016,13
2016-01-13 17:00:00,2016-01-13 18:00:00,0.0,18,1,2016,13
2016-01-13 18:00:00,2016-01-13 19:00:00,0.0,19,1,2016,13
2016-01-13 19:00:00,2016-01-13 20:00:00,0.0,20,1,2016,13
2016-01-13 20:00:00,2016-01-13 21:00:00,0.0,21,1,2016,13
2016-01-13 21:00:00,2016-01-13 22:00:00,0.0,22,1,2016,13
2016-01-13 22:00:00,2016-01-13 23:00:00,0.0,23,1,2016,13
2016-01-13 23:00:00,2016-01-14 00:00:00,0.0,0,1,2016,14
2016-01-14 00:00:00,2016-01-14 01:00:00,0.0,1,1,2016,14
2016-01-14 01:00:00,2016-01-14 02:00:00,0.0,2,1,2016,14
2016-01-14 02:00:00,2016-01-14 03:00:00,0.0,3,1,2016,14
2016-01-14 03:00:00,2016-01-14 04:00:00,0.0,4,1,2016,14
2016-01-14 04:00:00,2016-01-14 05:00:00,0.0,5,1,2016,14
2016-01-14 05:00:00,2016-01-14 06:00:00,0.0,6,1,2016,14
2016-01-14 06:00:00,2016-01-14 07:00:00,0.0,7,1,2016,14
2016-01-14 07:00:00,2016-01-14 08:00:00,0.004,8,1,2016,14
2016-01-14 08:00:00,2016-01-14 09:00:00,0.054,9,1,2016,14
2016-01-14 09:00:00,2016-01-14 10:00:00,0.133,10,1,2016,14
2016-01-14 10:00:00,2016-01-14 11:00:00,0.214,11,1,2016,14
2016-01-14 11:00:00,2016-01-14 12:00:00,0.271,12,1,2016,14
2016-01-14 12:00:00,2016-01-14 13:00:00,0.293,13,1,2016,14
2016-01-14 13:00:00,2016-01-14 14:00:00,0.271,14,1,2016,14
2016-01-14 14:00:00,2016-01-14 15:00:00,0.206,15,1,2016,14
